bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1092924,757064,2018-05-29,Senate,"Senate 3rd Reading SB1386 McGuire",28,5,6,0,39
1092924,765084,2018-06-19,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",17,0,2,0,19
1092924,771489,2018-08-15,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1092924,772573,2018-08-23,Assembly,"SB 1386 McGuire Consent Calendar Second Day Regular Session",75,0,5,0,80
1092924,772654,2018-08-24,Senate,"Unfinished Business SB1386 McGuire Concurrence",36,0,4,0,40
1092930,719935,2018-03-08,Assembly,"Be adopted. To third reading",8,0,3,0,11
1092932,740076,2018-04-17,Assembly,"Do pass. To Consent Calendar",7,0,0,0,7
1092932,742211,2018-04-23,Assembly,"AB 2876 JONES-SAWYER Consent Calendar Second Day Regular Session",75,0,3,0,78
1092932,764945,2018-06-19,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,1,0,0,7
1092932,773564,2018-08-29,Senate,"Assembly 3rd Reading AB2876 Jones-Sawyer By Lara",36,2,2,0,40
1092932,773900,2018-08-30,Assembly,"AB 2876 JONES-SAWYER Concurrence in Senate Amendments",75,2,3,0,80
1092936,734112,2018-04-04,Senate,"Do pass, but first be re-referred to the Committee on [Natural Resources and Water] with the recommendation: To Consent Calendar",7,0,0,0,7
1092936,742917,2018-04-24,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",9,0,0,0,9
1092936,751948,2018-05-10,Senate,"Consent Calendar SB1401",38,0,1,0,39
1092938,736271,2018-04-10,Assembly,"Do pass",5,1,1,0,7
1092938,746093,2018-04-30,Assembly,"AB 2867 GONZALEZ FLETCHER Assembly Third Reading",59,1,18,0,78
1092938,762233,2018-06-12,Senate,"Do pass as amended",5,2,0,0,7
1092938,771320,2018-08-13,Senate,"Assembly 3rd Reading AB2867 Gonzalez Fletcher By Lara",29,4,7,0,40
1092938,772166,2018-08-20,Assembly,"AB 2867 GONZALEZ FLETCHER Concurrence in Senate Amendments",60,9,11,0,80
1092946,721770,2018-03-12,Assembly,"Be adopted. To third reading",7,0,4,0,11
1092946,735636,2018-04-09,Senate,"Special Consent ACR178",39,0,0,0,39
1092950,743372,2018-04-24,Assembly,"Be adopted as amended. To Consent Calendar",15,0,0,0,15
1092950,748734,2018-05-03,Assembly,"ACR 177 JONES-SAWYER Consent Calendar Second Day",71,0,7,0,78
1092950,769663,2018-07-02,Senate,"Assembly 3rd Reading ACR177 Jones-Sawyer By Beall",30,4,5,0,39
1092956,751435,2018-05-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,2,0,7
1092956,755265,2018-05-22,Senate,"Placed on suspense file",7,0,0,0,7
1092968,743036,2018-04-23,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",10,0,0,0,10
1092968,753796,2018-05-16,Assembly,"Do pass. To Consent Calendar",17,0,0,0,17
1092968,756457,2018-05-25,Assembly,"AB 3178 RUBIO Consent Calendar Second Day Regular Session",70,0,8,0,78
1092968,767054,2018-06-20,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,0,0,7
1092968,772152,2018-08-20,Senate,"Assembly 3rd Reading AB3178 Rubio By Lara",39,0,1,0,40
1092968,772547,2018-08-23,Assembly,"AB 3178 RUBIO Concurrence in Senate Amendments",77,0,3,0,80
1094004,746161,2018-04-30,Assembly,"Be adopted. To third reading",10,0,1,0,11
1094004,757015,2018-05-29,Senate,"Special Consent ACR180",37,0,2,0,39
1094058,771448,2018-08-14,Assembly,"Be adopted. To third reading",5,0,2,0,7
